Image,Original Name,Word Count Range,Article Number,Image Sequence,Font Size,Blur Level,Background Color,Gold Label,Response
270,180-200_18_02_base_18_bg-slate_gray.jpg,180-200,18,2,18,0,slate_gray,"Policia njofton se një i paraburgosur në IEVP “Jordan Misja” ka ndërruar jetë, pasi ka pësuar atak kardiak. Sipas policisë, i paraburgosuri ka humbur ndjenjat gjatë qëndrimit të zonën e ajrimit në orën 17:03 minuta. “Në orën 17.11 menjëherë punonjësit e sigurisë dhe nd/ mjekë në IEVP e kanë shoqëruar me urgjencë drejt QSUT.  Në orën 17:58, pas ndërhyrjes së mjekëve, Myrtaj ka ndërruar jetë në Qëndrën Spitalore Univeristare “Nënë Tereza”. Myrtaj është arrstuar në datë 17.07. 2024 për kultivim të bimëve narkotike. Organet kompetente po merren me zbardhjen e çështjes”, thuhet në njoftim. Njoftim paraprak Shtetasi i paraburgosur Hekuran Myrtaj, që vuante dënimin në IEVP “Jordan Misja” ka ndërruar jetë për shkak të arrestit kardiak në QSUT. I paraburgosuri ka humbur ndjenjat (gjendje të fikti) gjatë qëndrimit në zonën e ajërimit në orën 17:03. Në orën 17.11 menjëherë punonjësit e sigurisë dhe nd/ mjekë në IEVP e kanë shoqëruar me urgjencë drejt QSUT.  Në orën 17:58, pas ndërhyrjes së mjekëve, Myrtaj ka ndërruar jetë në Qëndrën Spitalore Univeristare “Nënë Tereza”. Myrtaj është arrstuar në datë 17.07. 2024 për kultivim të bimëve narkotike. Organet kompetente po merren me zbardhjen e çështjes.","Policia njofton se një i paraburgosur në IEVP ""Jordan Misja"" ka ndërruar jetë, pasi ka pësuar atak kardiak. Sipas policisë, i paraburgosuri ka humbur ndjenjat gjatë qëndrimit të zonën e ajrimit në orën 17:03 minuta. ""Në orën 17:11 menjëherë punonjësit e sigurisë dhe nd/ mjekë në IEVP e kanë shoqëruar me urgjencë drejt QSUT. Në orën 17:58, pas ndërhyrjes së mjekëve, Myrtaj ka ndërruar jetë në Qendrën Spitalore Universitare ""Nënë Tereza"". Myrtaj është arrestuar në datë 17.07.2024 për kultivim të bimëve narkotike. Organet kompetente po merren me zbardhjen e çështjes"", thuhet në njoftim. Njoftim paraprak Shtetasi i paraburgosur Hekuran Myrtaj, që vuante dënimin në IEVP ""Jordan Misja"" ka ndërruar jetë për shkak të arresti kardiak në QSUT. I paraburgosuri ka humbur ndjenjat (gjendje të fikti) gjatë qëndrimit në zonën e ajrimit në orën 17:03. Në orën 17:11 menjëherë punonjësit e sigurisë dhe nd/ mjekë në IEVP e kanë shoqëruar me urgjencë drejt QSUT. Në orën 17:58, pas ndërhyrjes së mjekëve, Myrtaj ka ndërruar jetë në Qendrën Spitalore Universitare ""Nënë Tereza"". Myrtaj është arrestuar në datë "
271,180-200_18_02_base_18_blur-0.75.jpg,180-200,18,2,18,0.75,white,"Policia njofton se një i paraburgosur në IEVP “Jordan Misja” ka ndërruar jetë, pasi ka pësuar atak kardiak. Sipas policisë, i paraburgosuri ka humbur ndjenjat gjatë qëndrimit të zonën e ajrimit në orën 17:03 minuta. “Në orën 17.11 menjëherë punonjësit e sigurisë dhe nd/ mjekë në IEVP e kanë shoqëruar me urgjencë drejt QSUT.  Në orën 17:58, pas ndërhyrjes së mjekëve, Myrtaj ka ndërruar jetë në Qëndrën Spitalore Univeristare “Nënë Tereza”. Myrtaj është arrstuar në datë 17.07. 2024 për kultivim të bimëve narkotike. Organet kompetente po merren me zbardhjen e çështjes”, thuhet në njoftim. Njoftim paraprak Shtetasi i paraburgosur Hekuran Myrtaj, që vuante dënimin në IEVP “Jordan Misja” ka ndërruar jetë për shkak të arrestit kardiak në QSUT. I paraburgosuri ka humbur ndjenjat (gjendje të fikti) gjatë qëndrimit në zonën e ajërimit në orën 17:03. Në orën 17.11 menjëherë punonjësit e sigurisë dhe nd/ mjekë në IEVP e kanë shoqëruar me urgjencë drejt QSUT.  Në orën 17:58, pas ndërhyrjes së mjekëve, Myrtaj ka ndërruar jetë në Qëndrën Spitalore Univeristare “Nënë Tereza”. Myrtaj është arrstuar në datë 17.07. 2024 për kultivim të bimëve narkotike. Organet kompetente po merren me zbardhjen e çështjes.","Policia njofton se një i paraburgosur në IEVP “Jordan Misja” ka ndërruar jetë, pasi ka pësuar atak kardiak. Sipas policisë, i paraburgosuri ka humbur ndjenjat gjatë qëndrimit të zonën e ajrimit në orën 17:03 minuta. “Në orën 17.11 menjëherë punonjësit e sigurisë dhe nd/ mjekë në IEVP e kanë shoqëruar me urgjencë drejt QSUT. Në orën 17:58, pas ndërhyrjes së mjekëve, Myrtaj ka ndërruar jetë në Qëndrën Spitalore Universitare “Nënë Tereza”. Myrtaj është arrestuar në datë 17.07. 2024 për kultivim të bimëve narkotike. Organet kompetente po merren me zbardhjen e çështjes”, thuhet në njoftim. Njoftim paraprak Shtetasi i paraburgosur Hekuran Myrtaj, që vuante dënimin në IEVP “Jordan Misja” ka ndërruar jetë për shkak të arrestit kardiak në QSUT. I paraburgosuri ka humbur ndjenjat (gjendje të fikti) gjatë qëndrimit në zonën e ajërimit në orën 17:03. Në orën 17.11 menjëherë punonjësit e sigurisë dhe nd/ mjekë në IEVP e kanë shoqëruar me urgjencë drejt QSUT. Në orën 17:58, pas ndërhyrjes së mjekëve, Myrtaj ka ndërruar jetë në Qëndrën Spitalore Universitare “Nënë Tereza”. Myrtaj është arrestuar në"
272,180-200_18_02_base_18_blur-1.5.jpg,180-200,18,2,18,1.5,white,"Policia njofton se një i paraburgosur në IEVP “Jordan Misja” ka ndërruar jetë, pasi ka pësuar atak kardiak. Sipas policisë, i paraburgosuri ka humbur ndjenjat gjatë qëndrimit të zonën e ajrimit në orën 17:03 minuta. “Në orën 17.11 menjëherë punonjësit e sigurisë dhe nd/ mjekë në IEVP e kanë shoqëruar me urgjencë drejt QSUT.  Në orën 17:58, pas ndërhyrjes së mjekëve, Myrtaj ka ndërruar jetë në Qëndrën Spitalore Univeristare “Nënë Tereza”. Myrtaj është arrstuar në datë 17.07. 2024 për kultivim të bimëve narkotike. Organet kompetente po merren me zbardhjen e çështjes”, thuhet në njoftim. Njoftim paraprak Shtetasi i paraburgosur Hekuran Myrtaj, që vuante dënimin në IEVP “Jordan Misja” ka ndërruar jetë për shkak të arrestit kardiak në QSUT. I paraburgosuri ka humbur ndjenjat (gjendje të fikti) gjatë qëndrimit në zonën e ajërimit në orën 17:03. Në orën 17.11 menjëherë punonjësit e sigurisë dhe nd/ mjekë në IEVP e kanë shoqëruar me urgjencë drejt QSUT.  Në orën 17:58, pas ndërhyrjes së mjekëve, Myrtaj ka ndërruar jetë në Qëndrën Spitalore Univeristare “Nënë Tereza”. Myrtaj është arrstuar në datë 17.07. 2024 për kultivim të bimëve narkotike. Organet kompetente po merren me zbardhjen e çështjes.","Policia njofton se një i paraburgosur në IEVP “Jordan Misja” ka ndërruar jetë, pasi ka pësuar atak kardiak. Sipas policisë, i paraburgosuri ka humbur ndjenjat gjatë qëndrimit te zonën e ajrimit në orën 17:03 minuta. “Në orën 17.11 menjëherë punonjësit e sigurisë dhe nd/ mjekë në IEVP e kanë shoqëruar me urgjencë drejt QSUT. Në orën 17:58, pas ndërhyrjes së mjekëve, Myrtaj ka ndërruar jetë në Qendrën Spitalore Universitare “Nënë Tereza”. Myrtaj është arrestuar në datë 17.07. 2024 për kultivim të bimëve narkotike. Organet kompetente po merren me zbardhjen e çështjes”, thuhet në njoftim. Njoftim paraprak Shtetasi i paraburgosur Hekuran Myrtaj, që vuante dënimin në IEVP “Jordan Misja” ka ndërruar jetë për shkak të arresti kardiak në QSUT. I paraburgosuri ka humbur ndjenjat (gjendje të fikti) gjatë qëndrimit në zonën e ajrimit në orën 17:03. Në orën 17.11 menjëherë punonjësit e sigurisë dhe nd/ mjekë në IEVP e kanë shoqëruar me urgjencë drejt QSUT. Në orën 17:58, pas ndërhyrjes së mjekëve, Myrtaj ka ndërruar jetë në Qendrën Spitalore Universitare “Nënë Tereza”. Myrtaj është arrestuar në datë"
273,180-200_18_03_base_24.jpg,180-200,18,3,24,0,white,"Policia njofton se një i paraburgosur në IEVP “Jordan Misja” ka ndërruar jetë, pasi ka pësuar atak kardiak. Sipas policisë, i paraburgosuri ka humbur ndjenjat gjatë qëndrimit të zonën e ajrimit në orën 17:03 minuta. “Në orën 17.11 menjëherë punonjësit e sigurisë dhe nd/ mjekë në IEVP e kanë shoqëruar me urgjencë drejt QSUT.  Në orën 17:58, pas ndërhyrjes së mjekëve, Myrtaj ka ndërruar jetë në Qëndrën Spitalore Univeristare “Nënë Tereza”. Myrtaj është arrstuar në datë 17.07. 2024 për kultivim të bimëve narkotike. Organet kompetente po merren me zbardhjen e çështjes”, thuhet në njoftim. Njoftim paraprak Shtetasi i paraburgosur Hekuran Myrtaj, që vuante dënimin në IEVP “Jordan Misja” ka ndërruar jetë për shkak të arrestit kardiak në QSUT. I paraburgosuri ka humbur ndjenjat (gjendje të fikti) gjatë qëndrimit në zonën e ajërimit në orën 17:03. Në orën 17.11 menjëherë punonjësit e sigurisë dhe nd/ mjekë në IEVP e kanë shoqëruar me urgjencë drejt QSUT.  Në orën 17:58, pas ndërhyrjes së mjekëve, Myrtaj ka ndërruar jetë në Qëndrën Spitalore Univeristare “Nënë Tereza”. Myrtaj është arrstuar në datë 17.07. 2024 për kultivim të bimëve narkotike. Organet kompetente po merren me zbardhjen e çështjes.","Policia njofton se një i paraburgosur në IEVP “Jordan Misja” ka ndërruar jetë, pasi ka pësuar atak kardiak. Sipas policisë, i paraburgosuri ka humbur ndjenjat gjatë qëndrimit të zonën e ajrimit në orën 17:03 minuta. “Në orën 17.11 menjëherë punonjësit e sigurisë dhe nd/ mjekë në IEVP e kanë shoqëruar me urgjencë drejt QSUT. Në orën 17:58, pas ndërhyrjes së mjekëve, Myrtaj ka ndërruar jetë në Qendrën Spitalore Universitare “Nënë Tereza”. Myrtaj është arrstuar në datë 17.07. 2024 për kultivim të bimëve narkotike. Organet kompetente po merren me zbardhjen e çështjes”, thuhet në njoftim. Njoftim paraprak Shtetasi i paraburgosur Hekuran Myrtaj, që vuante dënimin në IEVP “Jordan Misja” ka ndërruar jetë për shkak të arrestit kardiak në QSUT. I paraburgosuri ka humbur ndjenjat (gjendje të fikti) gjatë qëndrimit në zonën e ajërimit në orën 17:03. Në orën 17.11 menjëherë punonjësit e sigurisë dhe nd/ mjekë në IEVP e kanë shoqëruar me urgjencë drejt QSUT. Në orën 17:58, pas ndërhyrjes së mjekëve, Myrtaj ka ndërruar jetë në Qendrën Spitalore Universitare “Nënë Tereza”. Myrtaj është arrstuar në"
274,180-200_19_01_base_12.jpg,180-200,19,1,12,0,white,"Një ngjarje e rëndë ka ndodhur mesditën e kësaj të diele në Ksamil. Në vendin e quajtur “Gjiri i Barxho”, te shkëmbinjtë, një 38-vjeçar është gjetur pa shenja jete. F.K, banues në Tiranë dyshohet se ka pësuar arrest kardiak. Mësohet se 38-vjeçari kishte dalë për lundrim me një kanoe dhe ka qenë duke bërë zhytje në zonën me shkëmbinj ku edhe u gjet i pajetë. Zona ku ndodhi ngjarja në Ksamil është e pajisur me tabela të cilat paralajmërojnë për rrezikun nga shkëmbinjtë. Vijojnë hetimet për zbardhjen e rrethanave të kësaj ngjarje. Sarandë/Informacion paraprak Sot, më datë 04.08.2024, tek shkëmbinjtë tek “Gjiri i Barxhos”, në Ksamil, në një masiv shkëmbor në det, është gjetur i pajetë shtetasi F. K., rreth 38 vjeç, banues në Tiranë, i cili dyshohet se është mbytur aksidentalisht si pasojë e një arresti kardiak. Nga informacionet paraprake dyshohet se ai kishte dalë për lundrim me një mjet kanoe dhe ka qenë duke bërë zhytje në këtë zonë. Grupi hetimor ndodhet në vendngjarje dhe, nën drejtimin e Prokurorisë, po punon për sqarimin e plotë të rrethanave të ngjarjes. (BalkanWeb)","Një ngjarje e rëndë ka ndodhur mesditën e kësaj të diele në Ksamil. Në vendin e quajtur “Gjiri i Barxho”, te shkëmbinjtë, një 38-vjeçar është gjetur pa shenja jete. F.K, banues në Tiranë dyshohet se ka pësuar arrest kardiak. Mësohet se 38-vjeçari kishte dalë për lundrim me një kanoe dhe ka qenë duke bërë zhytje në zonën me shkëmbinj ku edhe u gjet i pajetë. Zona ku ndodhi ngjarja në Ksamil është e pajisur me tabela të cilat paralajmërojnë për rrezikun nga shkëmbinjtë. Vijojnë hetimet për zbardhjen e rrethanave të kësaj ngjarje. Sarandë/Informacion paraprak Sot, më datë 04.08.2024, tek shkëmbinjtë tek “Gjiri i Barxhos”, në Ksamil, në një masiv shkëmbor në det, është gjetur i pajetë shtetasi F. K., rreth 38 vjeç, banues në Tiranë, i cili dyshohet se është mbytur aksidentalisht si pasojë e një arresti kardiak. Nga informacionet paraprake dyshohet se ai kishte dalë për lundrim me një mjet kanoe dhe ka qenë duke bërë zhytje në këtë zonë. Grupi hetimor ndodhet në vendngjarje dhe, nën drejtimin e Prokurorisë, po punon për sqarimin e plotë të rrethanave të ngjarjes. (BalkanWeb)"
275,180-200_19_02_base_18.jpg,180-200,19,2,18,0,white,"Një ngjarje e rëndë ka ndodhur mesditën e kësaj të diele në Ksamil. Në vendin e quajtur “Gjiri i Barxho”, te shkëmbinjtë, një 38-vjeçar është gjetur pa shenja jete. F.K, banues në Tiranë dyshohet se ka pësuar arrest kardiak. Mësohet se 38-vjeçari kishte dalë për lundrim me një kanoe dhe ka qenë duke bërë zhytje në zonën me shkëmbinj ku edhe u gjet i pajetë. Zona ku ndodhi ngjarja në Ksamil është e pajisur me tabela të cilat paralajmërojnë për rrezikun nga shkëmbinjtë. Vijojnë hetimet për zbardhjen e rrethanave të kësaj ngjarje. Sarandë/Informacion paraprak Sot, më datë 04.08.2024, tek shkëmbinjtë tek “Gjiri i Barxhos”, në Ksamil, në një masiv shkëmbor në det, është gjetur i pajetë shtetasi F. K., rreth 38 vjeç, banues në Tiranë, i cili dyshohet se është mbytur aksidentalisht si pasojë e një arresti kardiak. Nga informacionet paraprake dyshohet se ai kishte dalë për lundrim me një mjet kanoe dhe ka qenë duke bërë zhytje në këtë zonë. Grupi hetimor ndodhet në vendngjarje dhe, nën drejtimin e Prokurorisë, po punon për sqarimin e plotë të rrethanave të ngjarjes. (BalkanWeb)","Një ngjarje e rëndë ka ndodhur mesditën e kësaj të diele në Ksamil. Në vendin e quajtur “Gjiri i Barxho”, te shkëmbinjtë, një 38-vjeçar është gjetur pa shenja jete. F.K, banues në Tiranë dyshohet se ka pësuar arrest kardiak. Mësohet se 38-vjeçari kishte dalë për lundrim me një kanoe dhe ka qenë duke bërë zhytje në zonën me shkëmbinj ku edhe u gjet i pajetë. Zona ku ndodhi ngjarja në Ksamil është e pajisur me tabela të cilat paralajmërojnë për rrezikun nga shkëmbinjtë. Vijojnë hetimet për zbardhjen e rrethanave të kësaj ngjarje. Sarandë/Informacion paraprak Sot, më datë 04.08.2024, tek shkëmbinjtë tek “Gjiri i Barxhos”, në Ksamil, në një masiv shkëmbor në det, është gjetur i pajetë shtetasi F. K., rreth 38 vjeç, banues në Tiranë, i cili dyshohet se është mbytur aksidentalisht si pasojë e një arresti kardiak. Nga informacionet paraprake dyshohet se ai kishte dalë për lundrim me një mjet kanoe dhe ka qenë duke bërë zhytje në këtë zonë. Grupi hetimor ndodhet në vendngjarje dhe, nën drejtimin e Prokurorisë, po punon për sqarimin e plotë të rrethanave të ngjarjes. (BalkanWeb)"
276,180-200_19_02_base_18_bg-light_yellow.jpg,180-200,19,2,18,0,light_yellow,"Një ngjarje e rëndë ka ndodhur mesditën e kësaj të diele në Ksamil. Në vendin e quajtur “Gjiri i Barxho”, te shkëmbinjtë, një 38-vjeçar është gjetur pa shenja jete. F.K, banues në Tiranë dyshohet se ka pësuar arrest kardiak. Mësohet se 38-vjeçari kishte dalë për lundrim me një kanoe dhe ka qenë duke bërë zhytje në zonën me shkëmbinj ku edhe u gjet i pajetë. Zona ku ndodhi ngjarja në Ksamil është e pajisur me tabela të cilat paralajmërojnë për rrezikun nga shkëmbinjtë. Vijojnë hetimet për zbardhjen e rrethanave të kësaj ngjarje. Sarandë/Informacion paraprak Sot, më datë 04.08.2024, tek shkëmbinjtë tek “Gjiri i Barxhos”, në Ksamil, në një masiv shkëmbor në det, është gjetur i pajetë shtetasi F. K., rreth 38 vjeç, banues në Tiranë, i cili dyshohet se është mbytur aksidentalisht si pasojë e një arresti kardiak. Nga informacionet paraprake dyshohet se ai kishte dalë për lundrim me një mjet kanoe dhe ka qenë duke bërë zhytje në këtë zonë. Grupi hetimor ndodhet në vendngjarje dhe, nën drejtimin e Prokurorisë, po punon për sqarimin e plotë të rrethanave të ngjarjes. (BalkanWeb)","Një ngjarje e rëndë ka ndodhur mesditën e kësaj të diele në Ksamil. Në vendin e quajtur “Gjiri i Barxho”, te shkëmbinjtë, një 38-vjeçar është gjetur pa shenja jete. F.K, banues në Tiranë dyshohet se ka pësuar arrest kardiak. Mësohet se 38-vjeçari kishte dalë për lundrim me një kanoe dhe ka qenë duke bërë zhytje në zonën me shkëmbinj ku edhe u gjet i pajetë. Zona ku ndodhi ngjarja në Ksamil është e pajisur me tabela të cilat paralajmërojnë për rrezikun nga shkëmbinjtë. Vijojnë hetimet për zbardhjen e rrethanave të kësaj ngjarje. Sarandë/Informacion paraprak Sot, më datë 04.08.2024, tek shkëmbinjtë tek “Gjiri i Barxhos”, në Ksamil, në një masiv shkëmbor në det, është gjetur i pajetë shtetasi F. K., rreth 38 vjeç, banues në Tiranë, i cili dyshohet se është mbytur aksidentalisht si pasojë e një arresti kardiak. Nga informacionet paraprake dyshohet se ai kishte dalë për lundrim me një mjet kanoe dhe ka qenë duke bërë zhytje në këtë zonë. Grupi hetimor ndodhet në vendngjarje dhe, nën drejtimin e Prokurorisë, po punon për sqarimin e plotë të rrethanave të ngjarjes. (BalkanWeb)"
277,180-200_19_02_base_18_bg-slate_gray.jpg,180-200,19,2,18,0,slate_gray,"Një ngjarje e rëndë ka ndodhur mesditën e kësaj të diele në Ksamil. Në vendin e quajtur “Gjiri i Barxho”, te shkëmbinjtë, një 38-vjeçar është gjetur pa shenja jete. F.K, banues në Tiranë dyshohet se ka pësuar arrest kardiak. Mësohet se 38-vjeçari kishte dalë për lundrim me një kanoe dhe ka qenë duke bërë zhytje në zonën me shkëmbinj ku edhe u gjet i pajetë. Zona ku ndodhi ngjarja në Ksamil është e pajisur me tabela të cilat paralajmërojnë për rrezikun nga shkëmbinjtë. Vijojnë hetimet për zbardhjen e rrethanave të kësaj ngjarje. Sarandë/Informacion paraprak Sot, më datë 04.08.2024, tek shkëmbinjtë tek “Gjiri i Barxhos”, në Ksamil, në një masiv shkëmbor në det, është gjetur i pajetë shtetasi F. K., rreth 38 vjeç, banues në Tiranë, i cili dyshohet se është mbytur aksidentalisht si pasojë e një arresti kardiak. Nga informacionet paraprake dyshohet se ai kishte dalë për lundrim me një mjet kanoe dhe ka qenë duke bërë zhytje në këtë zonë. Grupi hetimor ndodhet në vendngjarje dhe, nën drejtimin e Prokurorisë, po punon për sqarimin e plotë të rrethanave të ngjarjes. (BalkanWeb)","Një ngjarje e rëndë ka ndodhur mesditën e kësaj të diele në Ksamil. Në vendin e quajtur “Gjiri i Barxho”, te shkëmbinjtë, një 38-vjeçar është gjetur pa shenja jete. F.K. banues në Tiranë dyshohet se ka pësuar arrest kardiak. Mësohet se 38-vjeçari kishte dalë për lundrim me një kanoe dhe ka qenë duke bërë zhytje në zonën me shkëmbinj ku edhe u gjet i pajetë. Zona ku ndodhi ngjarja në Ksamil është e pajisur me tabela të cilat paralajmërojnë për rrezikun nga shkëmbinjtë. Vijojnë hetimet për zbardhjen e rrethanave të kësaj ngjarje. Sarandë/Informacion paraprak Sot, më datë 04.08.2024, tek shkëmbinjtë tek “Gjiri i Barxhos”, në Ksamil, në një masiv shkëmbor në det, është gjetur i pajetë shtetasi F. K., rreth 38 vjeç, banues në Tiranë, i cili dyshohet se është mbytur aksidentalisht si pasojë e një arresti kardiak. Nga informacionet paraprake dyshohet se ai kishte dalë për lundrim me një mjet kanoe dhe ka qenë duke bërë zhytje në këtë zonë. Grupi hetimor ndodhet në vendngjarje dhe, nën drejtimin e Prokurorisë, po punon për sqarimin e plotë të rrethanave të ngjarjes. (BalkanWeb)"
278,180-200_19_02_base_18_blur-0.75.jpg,180-200,19,2,18,0.75,white,"Një ngjarje e rëndë ka ndodhur mesditën e kësaj të diele në Ksamil. Në vendin e quajtur “Gjiri i Barxho”, te shkëmbinjtë, një 38-vjeçar është gjetur pa shenja jete. F.K, banues në Tiranë dyshohet se ka pësuar arrest kardiak. Mësohet se 38-vjeçari kishte dalë për lundrim me një kanoe dhe ka qenë duke bërë zhytje në zonën me shkëmbinj ku edhe u gjet i pajetë. Zona ku ndodhi ngjarja në Ksamil është e pajisur me tabela të cilat paralajmërojnë për rrezikun nga shkëmbinjtë. Vijojnë hetimet për zbardhjen e rrethanave të kësaj ngjarje. Sarandë/Informacion paraprak Sot, më datë 04.08.2024, tek shkëmbinjtë tek “Gjiri i Barxhos”, në Ksamil, në një masiv shkëmbor në det, është gjetur i pajetë shtetasi F. K., rreth 38 vjeç, banues në Tiranë, i cili dyshohet se është mbytur aksidentalisht si pasojë e një arresti kardiak. Nga informacionet paraprake dyshohet se ai kishte dalë për lundrim me një mjet kanoe dhe ka qenë duke bërë zhytje në këtë zonë. Grupi hetimor ndodhet në vendngjarje dhe, nën drejtimin e Prokurorisë, po punon për sqarimin e plotë të rrethanave të ngjarjes. (BalkanWeb)","Një ngjarje e rëndë ka ndodhur mesditën e kësaj të diele në Ksamil. Në vendin e quajtur “Gjiri i Barxho”, te shkëmbinjtë, një 38-vjeçar është gjetur pa shenja jete. F.K, banues në Tiranë dyshohet se ka pësuar arrest kardiak. Mësohet se 38-vjeçari kishte dalë për lundrim me një kanoe dhe ka qenë duke bërë zhytje në zonën me shkëmbinj ku edhe u gjet i pajetë. Zona ku ndodhi ngjarja në Ksamil është e pajisur me tabela të cilat paralajmërojnë për rrezikun nga shkëmbinjtë. Vijojnë hetimet për zbardhjen e rrethanave të kësaj ngjarje. Sarandë/Informacion paraprak Sot, më datë 04.08.2024, tek shkëmbinjtë tek “Gjiri i Barxhos”, në Ksamil, në një masiv shkëmbor në det, është gjetur i pajetë shtetasi F. K., rreth 38 vjeç, banues në Tiranë, i cili dyshohet se është mbytur aksidentalisht si pasojë e një arresti kardiak. Nga informacionet paraprake dyshohet se ai kishte dalë për lundrim me një mjet kanoe dhe ka qenë duke bërë zhytje në këtë zonë. Grupi hetimor ndodhet në vendngjarje dhe, nën drejtimin e Prokurorisë, po punon për sqarimin e plotë të rrethanave të ngjarjes. (BalkanWeb)"
279,180-200_19_02_base_18_blur-1.5.jpg,180-200,19,2,18,1.5,white,"Një ngjarje e rëndë ka ndodhur mesditën e kësaj të diele në Ksamil. Në vendin e quajtur “Gjiri i Barxho”, te shkëmbinjtë, një 38-vjeçar është gjetur pa shenja jete. F.K, banues në Tiranë dyshohet se ka pësuar arrest kardiak. Mësohet se 38-vjeçari kishte dalë për lundrim me një kanoe dhe ka qenë duke bërë zhytje në zonën me shkëmbinj ku edhe u gjet i pajetë. Zona ku ndodhi ngjarja në Ksamil është e pajisur me tabela të cilat paralajmërojnë për rrezikun nga shkëmbinjtë. Vijojnë hetimet për zbardhjen e rrethanave të kësaj ngjarje. Sarandë/Informacion paraprak Sot, më datë 04.08.2024, tek shkëmbinjtë tek “Gjiri i Barxhos”, në Ksamil, në një masiv shkëmbor në det, është gjetur i pajetë shtetasi F. K., rreth 38 vjeç, banues në Tiranë, i cili dyshohet se është mbytur aksidentalisht si pasojë e një arresti kardiak. Nga informacionet paraprake dyshohet se ai kishte dalë për lundrim me një mjet kanoe dhe ka qenë duke bërë zhytje në këtë zonë. Grupi hetimor ndodhet në vendngjarje dhe, nën drejtimin e Prokurorisë, po punon për sqarimin e plotë të rrethanave të ngjarjes. (BalkanWeb)","Një ngjarje e rëndë ka ndodhur mesditën e kësaj të diele në Ksamil. Në vendin e quajtur “Gjiri i Barxho”, te shkëmbinjtë, një 38-vjeçar është gjetur pa shenja jete. F.K, banues në Tiranë dyshohet se ka pësuar arrest kardiak. Mësohet se 38-vjeçari kishte dalë për lundrim me një kanoe dhe ka qenë duke bërë zhytje në zonën me shkëmbinj ku edhe u gjet i pajetë. Zona ku ndodhi ngjarja në Ksamil është e pajisur me tabela të cilat paralajmërojnë për rrezikun nga shkëmbinjtë. Vijojnë hetimet për zbardhjen e rrethanave të kësaj ngjarje. Sarandë/Informacion paraprak Sot, më datë 04.08.2024, tek shkëmbinjtë tek “Gjiri i Barxhos”, në Ksamil, në një masiv shkëmbor në det, është gjetur i pajetë shtetasi F. K., rreth 38 vjeç, banues në Tiranë, i cili dyshohet se është mbytur aksidentalisht si pasojë e një arresti kardiak. Nga informacionet paraprake dyshohet se ai kishte dalë për lundrim me një mjet kanoe dhe ka qenë duke bërë zhytje në këtë zonë. Grupi hetimor ndodhet në vendngjarje dhe, nën drejtimin e Prokurorisë, po punon për sqarimin e plotë të rrethanave të ngjarjes. (BalkanWeb)"
280,180-200_19_03_base_24.jpg,180-200,19,3,24,0,white,"Një ngjarje e rëndë ka ndodhur mesditën e kësaj të diele në Ksamil. Në vendin e quajtur “Gjiri i Barxho”, te shkëmbinjtë, një 38-vjeçar është gjetur pa shenja jete. F.K, banues në Tiranë dyshohet se ka pësuar arrest kardiak. Mësohet se 38-vjeçari kishte dalë për lundrim me një kanoe dhe ka qenë duke bërë zhytje në zonën me shkëmbinj ku edhe u gjet i pajetë. Zona ku ndodhi ngjarja në Ksamil është e pajisur me tabela të cilat paralajmërojnë për rrezikun nga shkëmbinjtë. Vijojnë hetimet për zbardhjen e rrethanave të kësaj ngjarje. Sarandë/Informacion paraprak Sot, më datë 04.08.2024, tek shkëmbinjtë tek “Gjiri i Barxhos”, në Ksamil, në një masiv shkëmbor në det, është gjetur i pajetë shtetasi F. K., rreth 38 vjeç, banues në Tiranë, i cili dyshohet se është mbytur aksidentalisht si pasojë e një arresti kardiak. Nga informacionet paraprake dyshohet se ai kishte dalë për lundrim me një mjet kanoe dhe ka qenë duke bërë zhytje në këtë zonë. Grupi hetimor ndodhet në vendngjarje dhe, nën drejtimin e Prokurorisë, po punon për sqarimin e plotë të rrethanave të ngjarjes. (BalkanWeb)","Një ngjarje e rëndë ka ndodhur mesditën e kësaj të diele në Ksamil. Në vendin e quajtur “Gjiri i Barxho”, te shkëmbinjtë, një 38-vjeçar është gjetur pa shenja jete. F.K, banues në Tiranë dyshohet se ka pësuar arrest kardiak. Mësohet se 38-vjeçari kishte dalë për lundrim me një kanoe dhe ka qenë duke bërë zhytje në zonën me shkëmbinj ku edhe u gjet i pajetë. Zona ku ndodhi ngjarja në Ksamil është e pajisur me tabela të cilat paralajmërojnë për rrezikun nga shkëmbinjtë. Vijojnë hetimet për zbardhjen e rrethanave të kësaj ngjarje. Sarandë/Informacion paraprak Sot, më datë 04.08.2024, tek shkëmbinjtë tek “Gjiri i Barxhos”, në Ksamil, në një masiv shkëmbor në det, është gjetur i pajetë shtetasi F. K., rreth 38 vjeç, banues në Tiranë, i cili dyshohet se është mbytur aksidentalisht si pasojë e një arresti kardiak. Nga informacionet paraprake dyshohet se ai kishte dalë për lundrim me një mjet kanoe dhe ka qenë duke bërë zhytje në këtë zonë. Grupi hetimor ndodhet në vendngjarje dhe, nën drejtimin e Prokurorisë, po punon për sqarimin e plotë të rrethanave të ngjarjes. (BalkanWeb)"
