Image,Original Name,Word Count Range,Article Number,Image Sequence,Font Size,Blur Level,Background Color,True Labels
159,110-130_30_02_base_18_blur-0.75.jpg,110-130,30,02,18,0.75,white,"Тибқи ҳисобҳои  охирини марказҳои ИМА оид ба назорат ва пешгирии бемориҳо (CDC), дар ин мавсим дар Иёлоти Муттаҳидаи Амрико ҳадди ақалл 2,6 миллион бемор, 26 ҳазор бистаришуда ва 1600 фавт аз зуком сабт гардидааст. Дар ин хусус АМИТ «Ховар» бо истинод ба агентии иттилоотии «Синхуа» иттилоъ медиҳад. Мувофиқи таҳқиқоти ҳарҳафтаинаи марказҳои ИМА оид ба назорат ва пешгирии бемориҳо, фаъолнокии зукоми мавсимӣ дар аксари манотиқи кишвар афзоиш ёфта, зимнан минтақаҳои ҷанубу шарқӣ ва ҷанубу марказии мамлакат оид ба сатҳи баландтарини фаъолнокӣ гузориш додаанд. Шумораи ҳарҳафтаинаи бистаршавӣ ба бемории зуком идома меёбад. Марказҳои ИМА оид ба назорат ва пешгирии бемориҳо (CDC) тавсия медиҳанд, ки ҳамаи калонсолон ва кӯдакони 6-моҳа ва аз он боло  ҳар сол аз ваксинаи зуком эм шаванд.Азиза ИКРОМ,АМИТ «Ховар»"
160,110-130_30_02_base_18_blur-1.5.jpg,110-130,30,02,18,1.5,white,"Тибқи ҳисобҳои  охирини марказҳои ИМА оид ба назорат ва пешгирии бемориҳо (CDC), дар ин мавсим дар Иёлоти Муттаҳидаи Амрико ҳадди ақалл 2,6 миллион бемор, 26 ҳазор бистаришуда ва 1600 фавт аз зуком сабт гардидааст. Дар ин хусус АМИТ «Ховар» бо истинод ба агентии иттилоотии «Синхуа» иттилоъ медиҳад. Мувофиқи таҳқиқоти ҳарҳафтаинаи марказҳои ИМА оид ба назорат ва пешгирии бемориҳо, фаъолнокии зукоми мавсимӣ дар аксари манотиқи кишвар афзоиш ёфта, зимнан минтақаҳои ҷанубу шарқӣ ва ҷанубу марказии мамлакат оид ба сатҳи баландтарини фаъолнокӣ гузориш додаанд. Шумораи ҳарҳафтаинаи бистаршавӣ ба бемории зуком идома меёбад. Марказҳои ИМА оид ба назорат ва пешгирии бемориҳо (CDC) тавсия медиҳанд, ки ҳамаи калонсолон ва кӯдакони 6-моҳа ва аз он боло  ҳар сол аз ваксинаи зуком эм шаванд.Азиза ИКРОМ,АМИТ «Ховар»"
161,110-130_30_03_base_24.jpg,110-130,30,03,24,0,white,"Тибқи ҳисобҳои  охирини марказҳои ИМА оид ба назорат ва пешгирии бемориҳо (CDC), дар ин мавсим дар Иёлоти Муттаҳидаи Амрико ҳадди ақалл 2,6 миллион бемор, 26 ҳазор бистаришуда ва 1600 фавт аз зуком сабт гардидааст. Дар ин хусус АМИТ «Ховар» бо истинод ба агентии иттилоотии «Синхуа» иттилоъ медиҳад. Мувофиқи таҳқиқоти ҳарҳафтаинаи марказҳои ИМА оид ба назорат ва пешгирии бемориҳо, фаъолнокии зукоми мавсимӣ дар аксари манотиқи кишвар афзоиш ёфта, зимнан минтақаҳои ҷанубу шарқӣ ва ҷанубу марказии мамлакат оид ба сатҳи баландтарини фаъолнокӣ гузориш додаанд. Шумораи ҳарҳафтаинаи бистаршавӣ ба бемории зуком идома меёбад. Марказҳои ИМА оид ба назорат ва пешгирии бемориҳо (CDC) тавсия медиҳанд, ки ҳамаи калонсолон ва кӯдакони 6-моҳа ва аз он боло  ҳар сол аз ваксинаи зуком эм шаванд.Азиза ИКРОМ,АМИТ «Ховар»"
162,110-130_3_01_base_12.jpg,110-130,3,01,12,0,white,"Дар Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ба ифтихори Рӯзи кормандони хизмати дипломатӣ намоиши ҷашнии муштараки Осорхонаи миллии Тоҷикистон ва Маркази мероси хаттии назди Раёсати Академияи миллии илмҳои Тоҷикистон баргузор гардид, иттилоъ медиҳад АМИТ «Ховар» бо истинод ба Осорхонаи миллии Тоҷикистон.Дар намоиш аз фонди тиллоии Осорхонаи миллӣ 8 намунаи гуногуни китобҳои нодири дастнавис, ки фарогири мавзуъҳои гуногуни таърихӣ, оини сарварӣ, давлатсолорӣ ва сиёсатмадорӣ мебошанд, ба маърази тамошо гузошта шуданд. Ҳамзамон нусхаи сертификатҳои аслие, ки ворид шудани унсурҳои фарҳанги моддӣ ва ғайримоддии халқи тоҷик, аз ҷумла «Шашмақом», «Саразм», «Наврӯз», «Оши палав», «Чакан», «Фалак», «Кирмакпарварӣ ва абрешимбофӣ», «Латифаҳои Хоҷа Насриддин», «Атлас ва адрасбофӣ», «Куллиёти Мавлоно» ва «Санъати тазҳиб»-ро ба Феҳристи ҷаҳонии ЮНЕСКО тасдиқ мекунад, пешниҳоди тамошобинон гардонида шуданд."
163,110-130_3_02_base_18.jpg,110-130,3,02,18,0,white,"Дар Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ба ифтихори Рӯзи кормандони хизмати дипломатӣ намоиши ҷашнии муштараки Осорхонаи миллии Тоҷикистон ва Маркази мероси хаттии назди Раёсати Академияи миллии илмҳои Тоҷикистон баргузор гардид, иттилоъ медиҳад АМИТ «Ховар» бо истинод ба Осорхонаи миллии Тоҷикистон.Дар намоиш аз фонди тиллоии Осорхонаи миллӣ 8 намунаи гуногуни китобҳои нодири дастнавис, ки фарогири мавзуъҳои гуногуни таърихӣ, оини сарварӣ, давлатсолорӣ ва сиёсатмадорӣ мебошанд, ба маърази тамошо гузошта шуданд. Ҳамзамон нусхаи сертификатҳои аслие, ки ворид шудани унсурҳои фарҳанги моддӣ ва ғайримоддии халқи тоҷик, аз ҷумла «Шашмақом», «Саразм», «Наврӯз», «Оши палав», «Чакан», «Фалак», «Кирмакпарварӣ ва абрешимбофӣ», «Латифаҳои Хоҷа Насриддин», «Атлас ва адрасбофӣ», «Куллиёти Мавлоно» ва «Санъати тазҳиб»-ро ба Феҳристи ҷаҳонии ЮНЕСКО тасдиқ мекунад, пешниҳоди тамошобинон гардонида шуданд."
164,110-130_3_02_base_18_bg-light_yellow.jpg,110-130,3,02,18,0,light_yellow,"Дар Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ба ифтихори Рӯзи кормандони хизмати дипломатӣ намоиши ҷашнии муштараки Осорхонаи миллии Тоҷикистон ва Маркази мероси хаттии назди Раёсати Академияи миллии илмҳои Тоҷикистон баргузор гардид, иттилоъ медиҳад АМИТ «Ховар» бо истинод ба Осорхонаи миллии Тоҷикистон.Дар намоиш аз фонди тиллоии Осорхонаи миллӣ 8 намунаи гуногуни китобҳои нодири дастнавис, ки фарогири мавзуъҳои гуногуни таърихӣ, оини сарварӣ, давлатсолорӣ ва сиёсатмадорӣ мебошанд, ба маърази тамошо гузошта шуданд. Ҳамзамон нусхаи сертификатҳои аслие, ки ворид шудани унсурҳои фарҳанги моддӣ ва ғайримоддии халқи тоҷик, аз ҷумла «Шашмақом», «Саразм», «Наврӯз», «Оши палав», «Чакан», «Фалак», «Кирмакпарварӣ ва абрешимбофӣ», «Латифаҳои Хоҷа Насриддин», «Атлас ва адрасбофӣ», «Куллиёти Мавлоно» ва «Санъати тазҳиб»-ро ба Феҳристи ҷаҳонии ЮНЕСКО тасдиқ мекунад, пешниҳоди тамошобинон гардонида шуданд."
165,110-130_3_02_base_18_bg-slate_gray.jpg,110-130,3,02,18,0,slate_gray,"Дар Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ба ифтихори Рӯзи кормандони хизмати дипломатӣ намоиши ҷашнии муштараки Осорхонаи миллии Тоҷикистон ва Маркази мероси хаттии назди Раёсати Академияи миллии илмҳои Тоҷикистон баргузор гардид, иттилоъ медиҳад АМИТ «Ховар» бо истинод ба Осорхонаи миллии Тоҷикистон.Дар намоиш аз фонди тиллоии Осорхонаи миллӣ 8 намунаи гуногуни китобҳои нодири дастнавис, ки фарогири мавзуъҳои гуногуни таърихӣ, оини сарварӣ, давлатсолорӣ ва сиёсатмадорӣ мебошанд, ба маърази тамошо гузошта шуданд. Ҳамзамон нусхаи сертификатҳои аслие, ки ворид шудани унсурҳои фарҳанги моддӣ ва ғайримоддии халқи тоҷик, аз ҷумла «Шашмақом», «Саразм», «Наврӯз», «Оши палав», «Чакан», «Фалак», «Кирмакпарварӣ ва абрешимбофӣ», «Латифаҳои Хоҷа Насриддин», «Атлас ва адрасбофӣ», «Куллиёти Мавлоно» ва «Санъати тазҳиб»-ро ба Феҳристи ҷаҳонии ЮНЕСКО тасдиқ мекунад, пешниҳоди тамошобинон гардонида шуданд."
166,110-130_3_02_base_18_blur-0.75.jpg,110-130,3,02,18,0.75,white,"Дар Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ба ифтихори Рӯзи кормандони хизмати дипломатӣ намоиши ҷашнии муштараки Осорхонаи миллии Тоҷикистон ва Маркази мероси хаттии назди Раёсати Академияи миллии илмҳои Тоҷикистон баргузор гардид, иттилоъ медиҳад АМИТ «Ховар» бо истинод ба Осорхонаи миллии Тоҷикистон.Дар намоиш аз фонди тиллоии Осорхонаи миллӣ 8 намунаи гуногуни китобҳои нодири дастнавис, ки фарогири мавзуъҳои гуногуни таърихӣ, оини сарварӣ, давлатсолорӣ ва сиёсатмадорӣ мебошанд, ба маърази тамошо гузошта шуданд. Ҳамзамон нусхаи сертификатҳои аслие, ки ворид шудани унсурҳои фарҳанги моддӣ ва ғайримоддии халқи тоҷик, аз ҷумла «Шашмақом», «Саразм», «Наврӯз», «Оши палав», «Чакан», «Фалак», «Кирмакпарварӣ ва абрешимбофӣ», «Латифаҳои Хоҷа Насриддин», «Атлас ва адрасбофӣ», «Куллиёти Мавлоно» ва «Санъати тазҳиб»-ро ба Феҳристи ҷаҳонии ЮНЕСКО тасдиқ мекунад, пешниҳоди тамошобинон гардонида шуданд."
167,110-130_3_02_base_18_blur-1.5.jpg,110-130,3,02,18,1.5,white,"Дар Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ба ифтихори Рӯзи кормандони хизмати дипломатӣ намоиши ҷашнии муштараки Осорхонаи миллии Тоҷикистон ва Маркази мероси хаттии назди Раёсати Академияи миллии илмҳои Тоҷикистон баргузор гардид, иттилоъ медиҳад АМИТ «Ховар» бо истинод ба Осорхонаи миллии Тоҷикистон.Дар намоиш аз фонди тиллоии Осорхонаи миллӣ 8 намунаи гуногуни китобҳои нодири дастнавис, ки фарогири мавзуъҳои гуногуни таърихӣ, оини сарварӣ, давлатсолорӣ ва сиёсатмадорӣ мебошанд, ба маърази тамошо гузошта шуданд. Ҳамзамон нусхаи сертификатҳои аслие, ки ворид шудани унсурҳои фарҳанги моддӣ ва ғайримоддии халқи тоҷик, аз ҷумла «Шашмақом», «Саразм», «Наврӯз», «Оши палав», «Чакан», «Фалак», «Кирмакпарварӣ ва абрешимбофӣ», «Латифаҳои Хоҷа Насриддин», «Атлас ва адрасбофӣ», «Куллиёти Мавлоно» ва «Санъати тазҳиб»-ро ба Феҳристи ҷаҳонии ЮНЕСКО тасдиқ мекунад, пешниҳоди тамошобинон гардонида шуданд."
168,110-130_3_03_base_24.jpg,110-130,3,03,24,0,white,"Дар Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон ба ифтихори Рӯзи кормандони хизмати дипломатӣ намоиши ҷашнии муштараки Осорхонаи миллии Тоҷикистон ва Маркази мероси хаттии назди Раёсати Академияи миллии илмҳои Тоҷикистон баргузор гардид, иттилоъ медиҳад АМИТ «Ховар» бо истинод ба Осорхонаи миллии Тоҷикистон.Дар намоиш аз фонди тиллоии Осорхонаи миллӣ 8 намунаи гуногуни китобҳои нодири дастнавис, ки фарогири мавзуъҳои гуногуни таърихӣ, оини сарварӣ, давлатсолорӣ ва сиёсатмадорӣ мебошанд, ба маърази тамошо гузошта шуданд. Ҳамзамон нусхаи сертификатҳои аслие, ки ворид шудани унсурҳои фарҳанги моддӣ ва ғайримоддии халқи тоҷик, аз ҷумла «Шашмақом», «Саразм», «Наврӯз», «Оши палав», «Чакан», «Фалак», «Кирмакпарварӣ ва абрешимбофӣ», «Латифаҳои Хоҷа Насриддин», «Атлас ва адрасбофӣ», «Куллиёти Мавлоно» ва «Санъати тазҳиб»-ро ба Феҳристи ҷаҳонии ЮНЕСКО тасдиқ мекунад, пешниҳоди тамошобинон гардонида шуданд."
169,110-130_4_01_base_12.jpg,110-130,4,01,12,0,white,"27 сентябр дар Ню-Йорк дар ҳошияи иҷлоси 79-уми Маҷмаи Умумии Созмони Милали Муттаҳид,   Ёддошти тафоҳум байни Ҳукумати Ҷумҳурии Тоҷикистон ва Ҳукумати Шоҳигарии Арабистони Саудӣ дар бораи мутақобилан бекор намудани талаботи раводид барои дорандагони шиносномаҳои дипломатӣ ва хизматӣ ба имзо расид. Дар ин хусус АМИТ «Ховар» бо истинод ба Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон хабар медиҳад. Ёддошти тафоҳумро Вазири корҳои хориҷии Ҷумҳурии Тоҷикистон Сироҷиддин Муҳриддин ва Вазири корҳои хориҷии Подшоҳии Арабистони Саудӣ  Файсал ибни Фарҳон Оли Сауд ба имзо расониданд. Дар ҷараёни мулоқот вазирон ҳамчунин як қатор мавзуъҳои муҳими рӯзномаи дуҷониба ва ҷаҳонӣ, аз ҷумла масъалаҳои амнияти минтақавӣ, ҳамкории иқтисодӣ ва обу иқлимро матраҳ карданд. АКС: Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон"
170,110-130_4_02_base_18.jpg,110-130,4,02,18,0,white,"27 сентябр дар Ню-Йорк дар ҳошияи иҷлоси 79-уми Маҷмаи Умумии Созмони Милали Муттаҳид,   Ёддошти тафоҳум байни Ҳукумати Ҷумҳурии Тоҷикистон ва Ҳукумати Шоҳигарии Арабистони Саудӣ дар бораи мутақобилан бекор намудани талаботи раводид барои дорандагони шиносномаҳои дипломатӣ ва хизматӣ ба имзо расид. Дар ин хусус АМИТ «Ховар» бо истинод ба Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон хабар медиҳад. Ёддошти тафоҳумро Вазири корҳои хориҷии Ҷумҳурии Тоҷикистон Сироҷиддин Муҳриддин ва Вазири корҳои хориҷии Подшоҳии Арабистони Саудӣ  Файсал ибни Фарҳон Оли Сауд ба имзо расониданд. Дар ҷараёни мулоқот вазирон ҳамчунин як қатор мавзуъҳои муҳими рӯзномаи дуҷониба ва ҷаҳонӣ, аз ҷумла масъалаҳои амнияти минтақавӣ, ҳамкории иқтисодӣ ва обу иқлимро матраҳ карданд. АКС: Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон"
171,110-130_4_02_base_18_bg-light_yellow.jpg,110-130,4,02,18,0,light_yellow,"27 сентябр дар Ню-Йорк дар ҳошияи иҷлоси 79-уми Маҷмаи Умумии Созмони Милали Муттаҳид,   Ёддошти тафоҳум байни Ҳукумати Ҷумҳурии Тоҷикистон ва Ҳукумати Шоҳигарии Арабистони Саудӣ дар бораи мутақобилан бекор намудани талаботи раводид барои дорандагони шиносномаҳои дипломатӣ ва хизматӣ ба имзо расид. Дар ин хусус АМИТ «Ховар» бо истинод ба Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон хабар медиҳад. Ёддошти тафоҳумро Вазири корҳои хориҷии Ҷумҳурии Тоҷикистон Сироҷиддин Муҳриддин ва Вазири корҳои хориҷии Подшоҳии Арабистони Саудӣ  Файсал ибни Фарҳон Оли Сауд ба имзо расониданд. Дар ҷараёни мулоқот вазирон ҳамчунин як қатор мавзуъҳои муҳими рӯзномаи дуҷониба ва ҷаҳонӣ, аз ҷумла масъалаҳои амнияти минтақавӣ, ҳамкории иқтисодӣ ва обу иқлимро матраҳ карданд. АКС: Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон"
172,110-130_4_02_base_18_bg-slate_gray.jpg,110-130,4,02,18,0,slate_gray,"27 сентябр дар Ню-Йорк дар ҳошияи иҷлоси 79-уми Маҷмаи Умумии Созмони Милали Муттаҳид,   Ёддошти тафоҳум байни Ҳукумати Ҷумҳурии Тоҷикистон ва Ҳукумати Шоҳигарии Арабистони Саудӣ дар бораи мутақобилан бекор намудани талаботи раводид барои дорандагони шиносномаҳои дипломатӣ ва хизматӣ ба имзо расид. Дар ин хусус АМИТ «Ховар» бо истинод ба Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон хабар медиҳад. Ёддошти тафоҳумро Вазири корҳои хориҷии Ҷумҳурии Тоҷикистон Сироҷиддин Муҳриддин ва Вазири корҳои хориҷии Подшоҳии Арабистони Саудӣ  Файсал ибни Фарҳон Оли Сауд ба имзо расониданд. Дар ҷараёни мулоқот вазирон ҳамчунин як қатор мавзуъҳои муҳими рӯзномаи дуҷониба ва ҷаҳонӣ, аз ҷумла масъалаҳои амнияти минтақавӣ, ҳамкории иқтисодӣ ва обу иқлимро матраҳ карданд. АКС: Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон"
173,110-130_4_02_base_18_blur-0.75.jpg,110-130,4,02,18,0.75,white,"27 сентябр дар Ню-Йорк дар ҳошияи иҷлоси 79-уми Маҷмаи Умумии Созмони Милали Муттаҳид,   Ёддошти тафоҳум байни Ҳукумати Ҷумҳурии Тоҷикистон ва Ҳукумати Шоҳигарии Арабистони Саудӣ дар бораи мутақобилан бекор намудани талаботи раводид барои дорандагони шиносномаҳои дипломатӣ ва хизматӣ ба имзо расид. Дар ин хусус АМИТ «Ховар» бо истинод ба Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон хабар медиҳад. Ёддошти тафоҳумро Вазири корҳои хориҷии Ҷумҳурии Тоҷикистон Сироҷиддин Муҳриддин ва Вазири корҳои хориҷии Подшоҳии Арабистони Саудӣ  Файсал ибни Фарҳон Оли Сауд ба имзо расониданд. Дар ҷараёни мулоқот вазирон ҳамчунин як қатор мавзуъҳои муҳими рӯзномаи дуҷониба ва ҷаҳонӣ, аз ҷумла масъалаҳои амнияти минтақавӣ, ҳамкории иқтисодӣ ва обу иқлимро матраҳ карданд. АКС: Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон"
174,110-130_4_02_base_18_blur-1.5.jpg,110-130,4,02,18,1.5,white,"27 сентябр дар Ню-Йорк дар ҳошияи иҷлоси 79-уми Маҷмаи Умумии Созмони Милали Муттаҳид,   Ёддошти тафоҳум байни Ҳукумати Ҷумҳурии Тоҷикистон ва Ҳукумати Шоҳигарии Арабистони Саудӣ дар бораи мутақобилан бекор намудани талаботи раводид барои дорандагони шиносномаҳои дипломатӣ ва хизматӣ ба имзо расид. Дар ин хусус АМИТ «Ховар» бо истинод ба Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон хабар медиҳад. Ёддошти тафоҳумро Вазири корҳои хориҷии Ҷумҳурии Тоҷикистон Сироҷиддин Муҳриддин ва Вазири корҳои хориҷии Подшоҳии Арабистони Саудӣ  Файсал ибни Фарҳон Оли Сауд ба имзо расониданд. Дар ҷараёни мулоқот вазирон ҳамчунин як қатор мавзуъҳои муҳими рӯзномаи дуҷониба ва ҷаҳонӣ, аз ҷумла масъалаҳои амнияти минтақавӣ, ҳамкории иқтисодӣ ва обу иқлимро матраҳ карданд. АКС: Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон"
175,110-130_4_03_base_24.jpg,110-130,4,03,24,0,white,"27 сентябр дар Ню-Йорк дар ҳошияи иҷлоси 79-уми Маҷмаи Умумии Созмони Милали Муттаҳид,   Ёддошти тафоҳум байни Ҳукумати Ҷумҳурии Тоҷикистон ва Ҳукумати Шоҳигарии Арабистони Саудӣ дар бораи мутақобилан бекор намудани талаботи раводид барои дорандагони шиносномаҳои дипломатӣ ва хизматӣ ба имзо расид. Дар ин хусус АМИТ «Ховар» бо истинод ба Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон хабар медиҳад. Ёддошти тафоҳумро Вазири корҳои хориҷии Ҷумҳурии Тоҷикистон Сироҷиддин Муҳриддин ва Вазири корҳои хориҷии Подшоҳии Арабистони Саудӣ  Файсал ибни Фарҳон Оли Сауд ба имзо расониданд. Дар ҷараёни мулоқот вазирон ҳамчунин як қатор мавзуъҳои муҳими рӯзномаи дуҷониба ва ҷаҳонӣ, аз ҷумла масъалаҳои амнияти минтақавӣ, ҳамкории иқтисодӣ ва обу иқлимро матраҳ карданд. АКС: Вазорати корҳои хориҷии Ҷумҳурии Тоҷикистон"
176,110-130_5_01_base_12.jpg,110-130,5,01,12,0,white,"25 сентябр мулоқоти Сафири Ҷумҳурии Тоҷикистон дар Конфедератсияи Швейтсария, Намояндаи доимии Ҷумҳурии Тоҷикистон дар назди Шуъбаи Созмони Милали Муттаҳид ва дигар созмонҳои байналмилалӣ дар Женева Шараф Шерализода бо Директори  мудирият оид ба ҳамкории иқтисодию тиҷоратии Комиссияи иқтисодии Созмони Милали Муттаҳид барои Аврупо (UNECE)  Элизабет Тюрк баргузор гардид. Дар ин хусус АМИТ «Ховар» бо истинод ба Сафорати Ҷумҳурии Тоҷикистон дар Конфедератсияи Швейтсария хабар медиҳад. Зимни вохӯрӣ ҷонибҳо масъалаҳоро вобаста ба тақвияти ҳамкории Тоҷикистон бо Комиссияи иқтисодии Созмони Милали Муттаҳид барои Аврупо дар соҳаҳои иқтисоду тиҷорат, аз ҷумла иқтисоди «сабз» ва даврӣ, рақамикунонӣ, инноватсия, ҳамкории давлат ва бахши хусусӣ ва содагардонии расмиёти савдо мавриди баррасӣ қарор доданд. АКС: Сафорати Ҷумҳурии Тоҷикистон дар Конфедератсияи Швейтсария"
177,110-130_5_02_base_18.jpg,110-130,5,02,18,0,white,"25 сентябр мулоқоти Сафири Ҷумҳурии Тоҷикистон дар Конфедератсияи Швейтсария, Намояндаи доимии Ҷумҳурии Тоҷикистон дар назди Шуъбаи Созмони Милали Муттаҳид ва дигар созмонҳои байналмилалӣ дар Женева Шараф Шерализода бо Директори  мудирият оид ба ҳамкории иқтисодию тиҷоратии Комиссияи иқтисодии Созмони Милали Муттаҳид барои Аврупо (UNECE)  Элизабет Тюрк баргузор гардид. Дар ин хусус АМИТ «Ховар» бо истинод ба Сафорати Ҷумҳурии Тоҷикистон дар Конфедератсияи Швейтсария хабар медиҳад. Зимни вохӯрӣ ҷонибҳо масъалаҳоро вобаста ба тақвияти ҳамкории Тоҷикистон бо Комиссияи иқтисодии Созмони Милали Муттаҳид барои Аврупо дар соҳаҳои иқтисоду тиҷорат, аз ҷумла иқтисоди «сабз» ва даврӣ, рақамикунонӣ, инноватсия, ҳамкории давлат ва бахши хусусӣ ва содагардонии расмиёти савдо мавриди баррасӣ қарор доданд. АКС: Сафорати Ҷумҳурии Тоҷикистон дар Конфедератсияи Швейтсария"
178,110-130_5_02_base_18_bg-light_yellow.jpg,110-130,5,02,18,0,light_yellow,"25 сентябр мулоқоти Сафири Ҷумҳурии Тоҷикистон дар Конфедератсияи Швейтсария, Намояндаи доимии Ҷумҳурии Тоҷикистон дар назди Шуъбаи Созмони Милали Муттаҳид ва дигар созмонҳои байналмилалӣ дар Женева Шараф Шерализода бо Директори  мудирият оид ба ҳамкории иқтисодию тиҷоратии Комиссияи иқтисодии Созмони Милали Муттаҳид барои Аврупо (UNECE)  Элизабет Тюрк баргузор гардид. Дар ин хусус АМИТ «Ховар» бо истинод ба Сафорати Ҷумҳурии Тоҷикистон дар Конфедератсияи Швейтсария хабар медиҳад. Зимни вохӯрӣ ҷонибҳо масъалаҳоро вобаста ба тақвияти ҳамкории Тоҷикистон бо Комиссияи иқтисодии Созмони Милали Муттаҳид барои Аврупо дар соҳаҳои иқтисоду тиҷорат, аз ҷумла иқтисоди «сабз» ва даврӣ, рақамикунонӣ, инноватсия, ҳамкории давлат ва бахши хусусӣ ва содагардонии расмиёти савдо мавриди баррасӣ қарор доданд. АКС: Сафорати Ҷумҳурии Тоҷикистон дар Конфедератсияи Швейтсария"
179,110-130_5_02_base_18_bg-slate_gray.jpg,110-130,5,02,18,0,slate_gray,"25 сентябр мулоқоти Сафири Ҷумҳурии Тоҷикистон дар Конфедератсияи Швейтсария, Намояндаи доимии Ҷумҳурии Тоҷикистон дар назди Шуъбаи Созмони Милали Муттаҳид ва дигар созмонҳои байналмилалӣ дар Женева Шараф Шерализода бо Директори  мудирият оид ба ҳамкории иқтисодию тиҷоратии Комиссияи иқтисодии Созмони Милали Муттаҳид барои Аврупо (UNECE)  Элизабет Тюрк баргузор гардид. Дар ин хусус АМИТ «Ховар» бо истинод ба Сафорати Ҷумҳурии Тоҷикистон дар Конфедератсияи Швейтсария хабар медиҳад. Зимни вохӯрӣ ҷонибҳо масъалаҳоро вобаста ба тақвияти ҳамкории Тоҷикистон бо Комиссияи иқтисодии Созмони Милали Муттаҳид барои Аврупо дар соҳаҳои иқтисоду тиҷорат, аз ҷумла иқтисоди «сабз» ва даврӣ, рақамикунонӣ, инноватсия, ҳамкории давлат ва бахши хусусӣ ва содагардонии расмиёти савдо мавриди баррасӣ қарор доданд. АКС: Сафорати Ҷумҳурии Тоҷикистон дар Конфедератсияи Швейтсария"
180,110-130_5_02_base_18_blur-0.75.jpg,110-130,5,02,18,0.75,white,"25 сентябр мулоқоти Сафири Ҷумҳурии Тоҷикистон дар Конфедератсияи Швейтсария, Намояндаи доимии Ҷумҳурии Тоҷикистон дар назди Шуъбаи Созмони Милали Муттаҳид ва дигар созмонҳои байналмилалӣ дар Женева Шараф Шерализода бо Директори  мудирият оид ба ҳамкории иқтисодию тиҷоратии Комиссияи иқтисодии Созмони Милали Муттаҳид барои Аврупо (UNECE)  Элизабет Тюрк баргузор гардид. Дар ин хусус АМИТ «Ховар» бо истинод ба Сафорати Ҷумҳурии Тоҷикистон дар Конфедератсияи Швейтсария хабар медиҳад. Зимни вохӯрӣ ҷонибҳо масъалаҳоро вобаста ба тақвияти ҳамкории Тоҷикистон бо Комиссияи иқтисодии Созмони Милали Муттаҳид барои Аврупо дар соҳаҳои иқтисоду тиҷорат, аз ҷумла иқтисоди «сабз» ва даврӣ, рақамикунонӣ, инноватсия, ҳамкории давлат ва бахши хусусӣ ва содагардонии расмиёти савдо мавриди баррасӣ қарор доданд. АКС: Сафорати Ҷумҳурии Тоҷикистон дар Конфедератсияи Швейтсария"
181,110-130_5_02_base_18_blur-1.5.jpg,110-130,5,02,18,1.5,white,"25 сентябр мулоқоти Сафири Ҷумҳурии Тоҷикистон дар Конфедератсияи Швейтсария, Намояндаи доимии Ҷумҳурии Тоҷикистон дар назди Шуъбаи Созмони Милали Муттаҳид ва дигар созмонҳои байналмилалӣ дар Женева Шараф Шерализода бо Директори  мудирият оид ба ҳамкории иқтисодию тиҷоратии Комиссияи иқтисодии Созмони Милали Муттаҳид барои Аврупо (UNECE)  Элизабет Тюрк баргузор гардид. Дар ин хусус АМИТ «Ховар» бо истинод ба Сафорати Ҷумҳурии Тоҷикистон дар Конфедератсияи Швейтсария хабар медиҳад. Зимни вохӯрӣ ҷонибҳо масъалаҳоро вобаста ба тақвияти ҳамкории Тоҷикистон бо Комиссияи иқтисодии Созмони Милали Муттаҳид барои Аврупо дар соҳаҳои иқтисоду тиҷорат, аз ҷумла иқтисоди «сабз» ва даврӣ, рақамикунонӣ, инноватсия, ҳамкории давлат ва бахши хусусӣ ва содагардонии расмиёти савдо мавриди баррасӣ қарор доданд. АКС: Сафорати Ҷумҳурии Тоҷикистон дар Конфедератсияи Швейтсария"
